"Id","MSSubClass","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","ScreenPorch","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","SalePrice","TotalSpaceSF","LotFA","RmsPerLivSpc","TotalBath","FPperSF","YearRemodAdd_tog","MasVnrArea_tog","BsmtFinSF1_tog","BsmtFinSF2_tog","GarageArea_tog","WoodDeckSF_tog","OpenPorchSF_tog","ScreenPorch_tog"
301,190,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","fmCon","Med",5,"5",1953,1953,"Med","Low","Med","Low","BrkFace",56,"TA","TA","Stone","TA","High","Med","Low",841,0,"GasA","Med","Y","High","TA","High","TA","High",1953,"Unf",1,375,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",157000,2501,215.499003980111,0.00374251497005988,1,0.00079968012794882,1,1,1,0,1,0,0,0
302,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","High",8,"5",1998,1999,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Gd","High","No","High",281,0,"GasA","Ex","Y","High","Gd","High","TA","Highest",1998,"Fin",2,683,"TA","TA","Y",208,50,0,"Low","None","None",0,"Med","Med_High",267000,3480,193.381317311449,0.00367047308319739,3,0.00028735632183908,1,0,1,0,1,1,1,0
303,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",7,"5",2001,2002,"Low","Low","VinylSd","VinylSd","BrkFace",150,"Gd","TA","Other","Gd","High","No","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","High",2001,"RFn",3,843,"TA","TA","Y",468,81,0,"Low","None","None",0,"Med","Med_High",205000,3082,235.064085013295,0.00389357560025957,2,0.000324464633354964,1,1,0,0,1,1,1,0
304,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",5,"7",1972,1972,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","TA","High","No","Med",894,0,"GasA","Med","Y","High","TA","High","Low","High",1975,"Unf",2,552,"TA","TA","Y",256,0,0,"Low","Med","None",0,"Med","Med",149900,1788,168.994949366117,0.00559284116331096,1,0,1,0,1,0,1,1,0,0
305,75,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","High",7,"9",1880,2002,"Low","Low","CemntBd","Highest","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Ex","Y","High","Gd","High","Ex","High",2003,"Unf",3,870,"TA","TA","Y",302,0,0,"Low","None","None",0,"Med","Med_High",295000,4963,222.594985158006,0.00286286859433152,3,0.000201491033649003,1,0,0,0,1,1,0,0
306,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",8,"5",2004,2005,"Low","Low","CemntBd","Highest","Stone",246,"Gd","TA","Other","Gd","High","No","High",1464,0,"GasA","Ex","Y","High","Gd","High","Low","High",2004,"Fin",3,888,"TA","TA","Y",168,0,0,"Low","None","None",0,"Med","Med_High",305900,4000,181.911726508778,0.004,2,0,1,1,1,0,1,1,0,0
307,60,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",7,"5",1990,1991,"Low","Low","High","Med","BrkFace",246,"Gd","TA","Stone","Gd","High","No","Med",700,0,"GasA","Med","Y","High","Gd","High","TA","High",1990,"RFn",3,746,"TA","TA","Y",127,44,0,"Low","None","None",0,"Med","Med_High",225000,2943,232.077560277601,0.00356665180561748,3,0.000339789330615019,1,1,1,0,1,1,1,0
308,50,"Othr","Pave","Grvl","IRG","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","Low",6,"7",1920,1950,"Low","Low","Med","Low","None",0,"TA","Po","Stone","TA","High","No","Med",0,0,"GasA","Med","Y","Med","Fa","High","Low","Low",9999,"None",0,0,"None","None","N",0,144,0,"Low","Med","None",0,"Med","Med_High",89500,1725,153.612246657837,0.0042674253200569,1,0,0,0,0,0,0,0,1,0
309,30,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Med",4,"5",1940,1950,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Stone","TA","High","No","Low",262,0,"GasA","Ex","Y","High","TA","High","Low","Med",1961,"Unf",2,539,"TA","TA","Y",158,0,0,"Low","None","None",0,"Med","Med_High",82500,1722,187.353284865787,0.00464576074332172,1,0,0,0,1,0,1,1,0,0
310,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",9,"5",2003,2004,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Ex","High","Gd","High",1274,0,"GasA","Ex","Y","High","Ex","High","Ex","High",2003,"Fin",3,708,"TA","TA","Y",208,175,0,"Low","None","None",0,"Med","Med_High",360000,3840,201.256460486571,0.00411522633744856,2,0.00078125,1,0,1,0,1,1,1,0
311,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",6,"5",1993,1994,"Low","Low","High","Med","BrkFace",112,"TA","TA","Other","Gd","High","No","Med",518,0,"GasA","Med","Y","High","Gd","High","TA","High",1993,"Fin",2,420,"TA","TA","Y",190,63,0,"Low","None","None",0,"Med","Med_High",165600,2198,151.663361706776,0.00399733510992672,3,0.000454959053685168,1,1,1,0,1,1,1,0
312,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"6",1948,2002,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","Stone","TA","High","No","Med",680,0,"GasA","Ex","Y","High","TA","High","TA","Med",1948,"Unf",1,240,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",132000,1944,139.442719099992,0.0051440329218107,1,0.00051440329218107,1,0,1,0,1,0,0,0
313,190,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","fmCon","Low",5,"7",1939,1950,"Low","Low","Med","Low","None",0,"TA","TA","Stone","Gd","High","Med","Low",507,0,"GasA","Med","Y","High","TA","High","TA","Med",1939,"Unf",2,410,"TA","TA","Y",0,0,271,"Low","Med","None",0,"Med","Med_High",119900,1911,153.317608663278,0.00447227191413238,1,0.000523286237571952,0,0,1,0,1,0,0,1
314,20,"RL","Pave","None","IRG","Low","AllPub","NotCulD","Othr","High","Fam","Med",7,"5",1965,1965,"Med","Low","Highest","Med","None",0,"TA","TA","Stone","Gd","High","Gd","Med",1236,820,"GasW","Med","Y","High","TA","High","TA","High",1965,"RFn",2,513,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",375000,4172,613.945039848472,0.00392927308447937,2,0.000479386385426654,1,0,1,1,1,0,0,0
315,70,"Othr","Pave","Grvl","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","High",7,"7",1925,1990,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Low",16,0,"GasA","Ex","Y","High","Ex","High","TA","Med",1925,"Unf",2,546,"Fa","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",178000,2369,157.979589711327,0.0036563071297989,2,0.000422119037568594,1,0,1,0,1,0,0,0
316,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",7,"5",2004,2005,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Gd","High","No","High",425,0,"GasA","Ex","Y","High","Gd","High","TA","High",2004,"Fin",2,432,"TA","TA","Y",100,51,0,"Low","None","None",0,"Med","Med_High",188500,2148,159.289297199604,0.00418994413407821,3,0.000465549348230912,1,0,1,0,1,1,1,0
317,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",7,"7",1980,1980,"Low","Low","CemntBd","Highest","BrkFace",278,"Gd","TA","Stone","Gd","High","No","High",692,0,"GasA","Med","Y","High","Ex","High","TA","High",1983,"RFn",2,484,"TA","TA","Y",288,195,0,"Low","High","None",0,"Med","Med_High",260000,3198,208.039466852489,0.00424989375265618,3,0.000312695434646654,1,1,1,0,1,1,1,0
318,60,"FV","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Fam","High",8,"5",2006,2006,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Gd","High","Med","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","High",2006,"RFn",3,1025,"TA","TA","Y",208,46,0,"Low","None","None",0,"Med","Med_High",270000,3047,169.868329805051,0.00408371618172537,3,0.000328191663931736,1,0,0,0,1,1,1,0
319,60,"RL","Pave","None","Reg","Low","AllPub","NotCulD","Othr","Lux","Fam","High",7,"5",1993,1993,"Low","Low","High","Med","BrkFace",256,"Gd","TA","Other","Gd","High","Gd","High",987,0,"GasA","Ex","Y","High","Gd","High","TA","High",1993,"RFn",3,656,"TA","TA","Y",340,60,0,"Low","None","None",0,"Med","Med_High",260000,3993,189.498743710662,0.00340136054421769,3,0.000250438266967193,1,1,1,0,1,1,1,0
320,80,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","Med",7,"5",1980,1980,"Low","Low","Highest","Med","BrkFace",225,"TA","TA","Stone","Gd","High","Med","High",1036,0,"GasA","Med","Y","High","TA","High","TA","High",1980,"Unf",2,588,"TA","TA","Y",233,48,0,"Low","None","None",0,"Med","Med_High",187500,2844,199.7326987646,0.00407608695652174,2,0.00070323488045007,1,1,1,0,1,1,1,0
321,60,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",9,"5",2006,2006,"Low","Low","VinylSd","VinylSd","Stone",370,"TA","TA","Other","Ex","High","Med","Med",0,0,"GasA","Ex","Y","High","Gd","High","Low","High",2006,"RFn",3,840,"TA","TA","Y",240,154,0,"Low","None","None",0,"High","High",342643,3845,238.51078385768,0.00346687211093991,4,0,1,1,0,0,1,1,1,0
322,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",8,"5",2004,2004,"Low","Low","VinylSd","VinylSd","BrkFace",388,"Gd","TA","Other","Ex","High","Med","High",970,0,"GasA","Ex","Y","High","Gd","High","TA","Highest",2004,"Fin",3,872,"TA","TA","Y",184,154,0,"Low","None","None",0,"Med","Med_High",354000,3604,208.995454451536,0.00405186385737439,3,0.000277469478357381,1,1,1,0,1,1,1,0
323,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",7,"5",1986,1987,"Low","Low","Highest","Med","BrkFace",172,"Gd","TA","Stone","TA","High","Gd","Low",28,1474,"GasA","Ex","Y","High","Gd","High","TA","High",1987,"Fin",2,576,"TA","TA","Y",201,96,0,"Low","Med","None",0,"Med","Med_High",301000,4232,187.8822850156,0.00293040293040293,3,0.000236294896030246,1,1,1,1,1,1,1,0
324,20,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Med",3,"8",1955,2005,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","Stone","TA","High","No","Med",256,0,"GasA","Ex","Y","High","TA","High","Low","High",1955,"Unf",1,220,"Fa","TA","Y",142,98,0,"Low","None","None",0,"Med","Med_High",126175,2325,125.288924491043,0.00515907136715391,1,0,1,0,1,0,1,1,1,0
325,80,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",7,"7",1967,2007,"Med","Med","Med","Low","BrkFace",300,"Gd","Gd","Stone","Gd","High","No","Med",0,0,"GasA","Ex","Y","High","Gd","High","TA","Highest",1961,"Fin",2,564,"TA","TA","Y",240,0,0,"Low","None","None",0,"Med","Med_High",242000,3688,202.183802907977,0.00369375419744795,3,0.00027114967462039,1,1,0,0,1,1,0,0
326,45,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","1.5Unf",5,"6",1941,1950,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","Med","Low",116,0,"GasA","Po","N","Med","TA","High","Low","Med",1941,"Unf",2,360,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",87000,1523,120.710678118655,0.0062266500622665,1,0,0,0,1,0,1,0,0,0
327,120,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","High","Fam","Med",8,"5",1993,1993,"Low","Low","Highest","Med","None",0,"Gd","TA","Other","Gd","High","Gd","High",1619,0,"GasA","Ex","Y","High","Gd","High","TA","High",1993,"Fin",2,473,"TA","TA","Y",122,30,0,"Low","None","None",0,"High","Med_High",324000,3438,136.144130895601,0.00349040139616056,2,0.00058173356602676,1,0,1,0,1,1,1,0
328,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"5",1960,1960,"Med","Low","Med","Low","BrkFace",175,"TA","TA","Stone","TA","High","No","Low",565,0,"GasA","Med","Y","High","TA","High","Low","High",1960,"RFn",1,292,"TA","TA","Y",0,45,0,"Low","None","None",0,"Med","Med_High",145250,2766,187.70329614269,0.00506146059291396,2,0,1,1,1,0,1,0,1,0
329,75,"RL","Pave","None","IRG","Bnk","AllPub","NotCulD","Gtl","Low","Fam","Low",6,"6",1916,1994,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Med","N","Med","Gd","High","Low","Med",1930,"Unf",2,441,"TA","TA","Y",0,60,0,"Low","None","None",0,"Med","Med_High",214500,2978,184.095685965678,0.00468603561387067,2,0,1,0,0,0,1,0,1,0
330,70,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","High",5,"5",1920,1950,"Low","Low","Med","Low","None",0,"TA","TA","Other","TA","High","Med","Med",0,0,"GasA","Med","N","High","TA","High","Low","Med",1920,"Unf",1,189,"Fa","Fa","N",0,0,0,"Low","Med","None",0,"Med","Med_High",78000,1788,140.01249902359,0.00503355704697987,1,0,0,0,0,0,1,0,0,0
331,90,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","fmCon","Med",5,"4",1964,1964,"Low","Low","High","Med","BrkFace",84,"TA","TA","Stone","TA","High","No","High",40,264,"GasA","Med","Y","High","TA","High","Low","Med",2002,"Unf",1,352,"TA","TA","Y",155,0,0,"Low","None","None",0,"Med","Med_High",119000,3456,174.808904499157,0.00578703703703704,2,0,1,1,1,1,1,1,0,0
332,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",5,"6",1958,1992,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","No","Low",846,0,"GasA","Med","Y","High","TA","High","Low","High",1958,"RFn",1,308,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",139000,2112,160.421236443659,0.00568181818181818,1,0,1,0,1,0,1,0,0,0
333,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",8,"5",2003,2004,"Low","Low","VinylSd","VinylSd","BrkFace",296,"Gd","TA","Other","Gd","High","No","High",1124,479,"GasA","Ex","Y","High","Gd","High","TA","High",2003,"RFn",3,880,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",284000,4835,188.223059439255,0.00429711479435236,2,0.000206825232678387,1,1,1,1,1,0,0,0
334,120,"Othr","Pave","None","Reg","Lvl","AllPub","CulD","Gtl","Lux","Fam","Med",7,"5",2004,2004,"Low","Low","VinylSd","VinylSd","Stone",146,"Gd","TA","Other","Gd","High","Med","High",720,0,"GasA","Ex","Y","High","Gd","High","TA","High",2004,"RFn",2,484,"TA","TA","Y",192,30,0,"Low","None","None",0,"Med","Med_High",207000,2716,149.542807555322,0.00441826215022091,2,0.000368188512518409,1,1,1,0,1,1,1,0
335,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","High",6,"5",1998,1998,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Other","Gd","High","Gd","High",828,0,"GasA","Med","Y","High","TA","High","TA","High",1998,"Fin",2,472,"TA","TA","Y",100,38,0,"Low","None","None",0,"Med","Med_High",192000,2581,154.089431589425,0.00427350427350427,3,0.000774893452150329,1,0,1,0,1,1,1,0
336,190,"RL","Grvl","None","IRG","HLS","AllPub","NotCulD","Othr","High","fmCon","Low",5,"6",1965,1965,"Low","Low","Highest","Med","None",0,"TA","TA","Stone","TA","High","Gd","Med",1249,147,"GasA","Ex","Y","High","TA","High","TA","High",1965,"Fin",2,529,"TA","TA","Y",670,0,0,"Low","None","Shed",700,"Med","Med_High",228950,3285,883.017361795899,0.00391937290033595,2,0.00060882800608828,1,0,1,1,1,1,0,0
337,20,"RL","Pave","None","IRG","HLS","AllPub","NotCulD","Gtl","Lux","Fam","Med",9,"5",2005,2006,"Med","Low","VinylSd","VinylSd","Stone",200,"Gd","TA","Other","Ex","High","Gd","High",1249,0,"GasA","Ex","Y","High","Gd","High","TA","High",2005,"Fin",3,676,"TA","TA","Y",178,51,0,"Low","None","None",0,"Med","Med_High",377426,3844,204.983192090312,0.00416233090530697,2,0.000260145681581686,1,1,1,0,1,1,1,0
338,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",7,"5",2002,2003,"Low","Low","VinylSd","VinylSd","BrkFace",113,"Gd","TA","Other","Gd","High","Med","High",810,0,"GasA","Ex","Y","High","Gd","High","Low","High",2002,"RFn",2,532,"TA","TA","Y",192,74,0,"Low","None","None",0,"Med","Med_High",214000,3072,165.577193932444,0.00455729166666667,2,0,1,1,1,0,1,1,1,0
339,20,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","Med",7,"7",1984,1998,"Low","Low","Med","Low","None",0,"Gd","TA","Stone","Gd","High","Med","Med",213,0,"GasA","Ex","Y","High","Gd","High","Low","High",1984,"RFn",2,440,"TA","TA","Y",108,45,0,"Low","None","Shed",400,"Med","Med_High",202500,2829,209.932754109202,0.00493522516964837,2,0,1,0,1,0,1,1,1,0
340,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"7",1958,1998,"Med","Low","Med","Low","BrkFace",176,"TA","TA","Stone","TA","Med","No","Low",585,0,"GasA","Med","Y","Med","TA","High","Low","High",1958,"Unf",1,297,"TA","TA","Y",0,0,234,"Low","None","None",0,"Med","Med_High",155000,2430,177.3552872566,0.00493827160493827,1,0,1,1,1,0,1,0,0,1
341,60,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","High","Fam","High",8,"5",2002,2002,"Low","Low","VinylSd","VinylSd","None",0,"Gd","TA","Other","Gd","High","No","Med",0,0,"GasA","Ex","Y","High","Gd","High","Low","High",2002,"Fin",2,431,"TA","TA","Y",135,0,0,"Low","None","None",0,"Med","Med_High",202900,2875,204.12598373151,0.00471698113207547,3,0,1,0,0,0,1,1,0,0
342,20,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","Med",4,"4",1950,1950,"Low","Low","Med","Lowest","None",0,"Fa","Po","Stone","TA","Med","No","Med",0,0,"GasA","Med","Y","High","TA","High","Low","Low",1950,"Unf",1,294,"TA","TA","N",250,0,0,"Low","None","None",0,"Med","Med_High",82000,1562,151.651513899117,0.00475624256837099,1,0,0,0,0,0,1,1,0,0
343,90,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Med_Low","fmCon","Med",3,"4",1949,1950,"Low","Low","High","Low","BrkFace",340,"TA","TA","Slab","None","Med","None","None",0,0,"Wall","Med","N","Med","TA","High","Low","Med",1949,"Unf",2,400,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",87500,1040,158.694297926558,0.00576923076923077,2,0,0,1,0,0,1,0,0,0
344,120,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",9,"5",2005,2005,"Med","Low","Med","Low","BrkFace",616,"Ex","TA","Other","Ex","High","No","High",28,0,"GasA","Ex","Y","High","Ex","High","Ex","High",2005,"RFn",2,564,"TA","TA","Y",495,72,0,"Low","None","None",0,"Med","Med_High",266000,3368,157.069123520951,0.00356294536817102,2,0.000296912114014252,1,1,1,0,1,1,1,0
345,160,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","High",5,"Low",1976,1976,"Low","Low","CemntBd","Highest","None",0,"TA","TA","Stone","Gd","High","No","Low",129,232,"GasA","Med","Y","High","TA","High","Low","High",1976,"Unf",1,336,"TA","TA","Y",182,0,0,"Low","None","None",0,"Med","Med_High",85000,1648,86.9116882454314,0.00359712230215827,2,0,1,0,1,1,1,1,0,0
346,50,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Low",6,"5",1939,1950,"Low","Low","Med","Low","None",0,"TA","TA","BrkTil","TA","High","No","Med",0,0,"GasA","Med","Y","High","Fa","High","TA","Med",1939,"Unf",1,312,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",140200,2549,145.218451742726,0.00380469245402663,1,0.000392310710082385,0,0,0,0,1,0,0,0
347,20,"RL","Pave","None","IRG","Lvl","AllPub","CulD","Gtl","Med_Low","Fam","Med",6,"8",1960,1998,"Med","Low","Med","Low","None",0,"TA","Gd","Stone","TA","High","Med","Low",498,0,"GasA","Med","Y","High","TA","High","Low","High",1960,"RFn",1,301,"TA","TA","Y",0,0,0,"Low","None","Gar2",15500,"Med","Med_High",151500,1916,190.403974309539,0.00521920668058455,1,0,1,0,1,0,1,0,0,0
348,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_Low","Fam","Med",6,"5",1960,1960,"Low","Low","Med","Low","BrkFace",30,"TA","TA","Stone","TA","High","No","Low",1270,0,"GasA","Ex","Y","Med","TA","High","TA","High",1960,"Unf",2,498,"TA","TA","Y",0,40,0,"Low","None","None",0,"Med","Med_High",157500,2956,222.765348574621,0.0040595399188092,2,0.0006765899864682,1,1,1,0,1,0,1,0
349,160,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lux","fmCon","High",7,"5",2003,2004,"Low","Low","VinylSd","Low","Stone",106,"Gd","TA","Other","Gd","High","No","High",573,0,"GasA","Ex","Y","High","Gd","High","Low","Highest",2003,"RFn",2,474,"TA","TA","Y",0,27,0,"Low","None","None",0,"Med","Med_High",154000,2390,85.4772675074119,0.003690036900369,3,0,1,1,1,0,1,0,1,0
350,60,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","High",9,"5",2005,2006,"Med","Low","CemntBd","Highest","BrkFace",870,"Ex","TA","Other","Ex","High","No","High",1410,0,"GasA","Ex","Y","High","Ex","High","Ex","High",2006,"Fin",3,706,"TA","TA","Y",0,0,0,"Low","None","None",0,"High","High",437154,4576,198.937049081055,0.00366568914956012,3,0.000437062937062937,1,1,1,0,1,0,0,0
351,120,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Lux","Fam","Med",9,"5",2007,2007,"Med","Low","Med","Low","BrkFace",362,"Ex","TA","Other","Ex","High","No","Med",0,0,"GasA","Ex","Y","High","Ex","High","TA","High",2007,"RFn",2,617,"TA","TA","Y",210,54,0,"Low","None","None",0,"High","High",318061,3738,156.430763877737,0.00321027287319422,2,0.000267522739432852,1,1,0,0,1,1,1,0
352,120,"RL","Pave","None","IRG","Low","AllPub","NotCulD","Othr","Med_High","Fam","Med",7,"5",1986,1986,"Low","Low","Med","Low","None",0,"TA","TA","Other","Gd","High","Gd","High",1082,0,"GasA","Med","Y","High","Gd","High","TA","High",1986,"RFn",2,445,"TA","TA","Y",0,80,184,"Low","None","None",0,"Med","Med",190000,2906,130.24605470097,0.00412938747419133,2,0.000344115622849277,1,0,1,0,1,0,1,1
353,50,"RL","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Low",5,"6",1941,1950,"Low","Low","VinylSd","VinylSd","None",0,"TA","TA","Stone","TA","Med","Med","Low",236,380,"GasA","Med","N","High","TA","High","Low","Med",1941,"Unf",1,200,"TA","Fa","Y",48,0,0,"Low","None","None",0,"Med","Med_High",95000,1727,155.310020459551,0.0045004500450045,1,0,0,0,1,1,1,1,0,0
354,30,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Low","Fam","Med",6,"8",1928,2003,"Low","Low","VinylSd","VinylSd","None",0,"TA","Gd","BrkTil","TA","High","No","Med",0,0,"GasA","Med","Y","High","TA","High","Low","Med",2005,"Unf",2,484,"TA","TA","Y",106,0,0,"Low","None","None",0,"Med","Med_High",105900,1344,152.303846073715,0.00694444444444444,1,0,1,0,0,0,1,1,0,0
355,50,"RL","Pave","None","Reg","Bnk","AllPub","NotCulD","Gtl","Med_Low","Fam","Low",6,"5",1940,2000,"Low","Low","Med","Low","None",0,"TA","TA","Stone","TA","High","No","Low",388,0,"GasA","Ex","Y","High","TA","High","TA","High",1940,"Unf",1,240,"TA","TA","Y",0,0,0,"Low","None","None",0,"Med","Med_High",140000,2535,151.651513899117,0.00376175548589342,1,0.000788954635108481,1,0,1,0,1,0,0,0
356,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",6,"5",1995,1995,"Low","Low","VinylSd","VinylSd","None",0,"Gd","Gd","Other","Gd","High","No","Med",334,544,"GasA","Ex","Y","High","Gd","High","Low","High",1995,"RFn",2,521,"TA","TA","Y",0,26,0,"Low","None","None",0,"Med","Med_High",177500,2400,211.061303028013,0.005,2,0,1,0,1,1,1,0,1,0
357,20,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","True_Med","Fam","Med",6,"6",1992,1992,"Low","Low","High","Med","BrkFace",106,"TA","TA","Other","Gd","High","No","High",560,0,"GasA","Med","Y","High","Gd","High","Low","High",1992,"RFn",2,400,"TA","TA","Y",120,26,0,"Low","None","None",0,"Med","Med_High",173000,2325,164.280332257795,0.0051413881748072,2,0,1,1,1,0,1,1,1,0
358,120,"Othr","Pave","None","Reg","Lvl","AllPub","NotCulD","Gtl","Lowest","Fam","Med",5,"5",1976,1976,"Low","Low","CemntBd","Highest","None",0,"TA","TA","Other","Gd","High","No","Med",874,0,"GasA","Med","Y","High","TA","High","Low","High",1976,"Fin",2,528,"TA","TA","Y",536,90,0,"Low","Med","None",0,"Med","Med_High",134000,2284,108.992307237088,0.00525394045534151,2,0.000437828371278459,1,0,1,0,1,1,1,0
359,80,"RL","Pave","None","IRG","Lvl","AllPub","NotCulD","Gtl","Med_High","Fam","Med",5,"4",1958,1958,"Med","Low","Med","High","BrkFace",120,"TA","TA","Stone","TA","High","Med","Low",300,294,"GasA","Ex","Y","Med","Gd","Med","Low","Highest",1958,"Unf",1,288,"TA","TA","Y",168,0,0,"Low","None","None",0,"Med","Med",130000,2414,175.24662155307,0.00443786982248521,1,0,1,1,1,1,1,1,0,0
