"Id","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","DtSold"
238,"RFn",2,457,"TA","TA","Y",370,70,0,238,0,0,"None","None","None",0,"WD","Normal",2010-02-01
239,"Fin",3,818,"TA","TA","Y",168,228,0,0,0,0,"None","None","None",0,"New","Partial",2007-12-01
240,"Unf",1,220,"TA","TA","Y",0,140,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2010-04-01
241,"RFn",2,750,"TA","TA","Y",144,168,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
242,"None",0,0,"None","None","Y",58,42,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
243,"Unf",1,352,"Fa","TA","Y",0,0,77,0,0,0,"None","None","None",0,"WD","Normal",2006-04-01
244,"RFn",1,288,"TA","TA","Y",0,28,0,0,0,0,"None","None","None",0,"WD","Normal",2009-04-01
245,"RFn",2,463,"TA","TA","Y",0,130,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
246,"Fin",2,604,"TA","TA","Y",197,39,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
247,"Unf",1,440,"Po","Po","Y",0,60,112,0,0,0,"None","None","None",0,"WD","Normal",2006-04-01
248,"Unf",2,451,"TA","TA","Y",0,30,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
249,"RFn",2,500,"TA","TA","Y",144,68,0,0,0,0,"None","None","None",0,"WD","Normal",2007-09-01
250,"Fin",2,389,"TA","TA","Y",0,98,0,0,0,0,"None","None","Shed",500,"WD","Normal",2007-06-01
251,"None",0,0,"None","None","Y",263,0,0,0,0,0,"None","GdWo","Shed",450,"WD","Normal",2010-05-01
252,"Fin",2,538,"TA","TA","Y",123,0,0,0,153,0,"None","None","None",0,"WD","Family",2007-12-01
253,"RFn",2,520,"TA","TA","Y",138,45,0,0,0,0,"None","None","None",0,"WD","Normal",2008-12-01
254,"RFn",1,309,"TA","TA","Y",333,0,0,0,0,0,"None","MnPrv","None",0,"CWD","Normal",2007-10-01
255,"RFn",1,294,"TA","TA","Y",250,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
256,"Fin",2,429,"TA","TA","Y",192,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-02-01
257,"RFn",2,673,"TA","TA","Y",216,56,0,0,0,0,"None","None","None",0,"WD","Normal",2008-05-01
258,"RFn",2,660,"TA","TA","Y",123,110,0,0,0,0,"None","None","None",0,"WD","Abnorml",2009-03-01
259,"RFn",2,564,"TA","TA","Y",0,96,0,245,0,0,"None","None","None",0,"WD","Normal",2008-05-01
260,"Unf",1,308,"TA","TA","Y",0,45,0,0,0,0,"None","None","None",0,"WD","Normal",2008-12-01
261,"Unf",2,884,"TA","TA","Y",0,0,252,0,0,0,"None","GdWo","None",0,"WD","Normal",2009-05-01
262,"Fin",3,868,"TA","TA","Y",0,148,0,0,0,0,"None","None","None",0,"New","Partial",2007-11-01
263,"Unf",2,492,"TA","TA","Y",292,12,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2006-07-01
264,"Unf",2,484,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
265,"Unf",2,504,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
266,"Fin",2,576,"TA","TA","Y",276,0,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2008-06-01
267,"Fin",2,413,"TA","TA","Y",95,75,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
268,"Unf",1,240,"TA","TA","Y",262,24,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
269,"Fin",1,924,"Ex","Ex","Y",0,25,0,0,0,0,"None","None","None",0,"WD","Normal",2008-02-01
270,"RFn",1,504,"TA","Gd","Y",370,30,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2007-05-01
271,"RFn",3,1053,"TA","TA","Y",192,51,0,0,0,0,"None","None","None",0,"New","Partial",2006-08-01
272,"Unf",2,439,"TA","TA","Y",81,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
273,"Fin",3,671,"TA","TA","Y",132,57,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
274,"RFn",1,338,"TA","TA","Y",289,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2009-04-01
275,"Unf",1,264,"TA","TA","Y",168,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
276,"Unf",2,672,"TA","TA","Y",74,0,0,0,144,0,"None","None","None",0,"WD","Normal",2009-10-01
277,"Fin",2,573,"TA","TA","Y",100,150,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
278,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
279,"Fin",3,732,"TA","TA","Y",124,98,0,0,142,0,"None","None","None",0,"New","Partial",2007-05-01
280,"Fin",2,505,"TA","TA","Y",288,117,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
281,"Fin",2,575,"TA","TA","Y",0,84,0,196,0,0,"None","None","None",0,"WD","Normal",2007-01-01
282,"Fin",2,572,"TA","TA","Y",0,120,0,0,0,0,"None","None","None",0,"New","Partial",2006-05-01
283,"RFn",2,626,"TA","TA","Y",172,62,0,0,0,0,"None","None","None",0,"ConLw","Normal",2009-04-01
284,"Fin",3,898,"TA","TA","Y",210,150,0,0,0,0,"None","None","None",0,"New","Partial",2009-12-01
285,"RFn",2,529,"TA","TA","Y",0,0,52,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
286,"RFn",2,528,"TA","TA","Y",0,54,0,0,0,0,"None","None","None",0,"New","Partial",2007-06-01
287,"RFn",2,440,"TA","TA","Y",0,0,0,0,128,0,"None","GdPrv","None",0,"WD","Normal",2006-06-01
288,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
289,"Unf",1,280,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2010-02-01
290,"Unf",1,384,"TA","TA","Y",0,0,0,0,259,0,"None","None","None",0,"WD","Normal",2007-07-01
291,"RFn",2,685,"Gd","TA","Y",0,51,0,0,0,0,"None","None","None",0,"New","Partial",2006-07-01
292,"None",0,0,"None","None","N",0,184,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
293,"Unf",1,281,"TA","TA","Y",0,0,0,0,160,0,"None","None","None",0,"WD","Normal",2009-01-01
294,"Fin",2,539,"TA","TA","Y",0,250,0,0,0,0,"None","None","None",0,"WD","Normal",2006-03-01
295,"Fin",2,418,"TA","TA","Y",110,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-10-01
296,"Unf",2,588,"TA","TA","Y",120,0,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2006-03-01
297,"Unf",1,282,"TA","TA","Y",289,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-06-01
298,"RFn",2,576,"TA","TA","Y",0,10,0,0,198,0,"None","None","None",0,"WD","Normal",2007-06-01
299,"Unf",2,539,"TA","TA","Y",224,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
300,"Unf",1,300,"TA","TA","Y",0,36,0,0,0,0,"None","GdPrv","None",0,"WD","Family",2009-08-01
301,"Unf",1,375,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
302,"Fin",2,683,"TA","TA","Y",208,50,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
303,"RFn",3,843,"TA","TA","Y",468,81,0,0,0,0,"None","None","None",0,"WD","Normal",2006-01-01
304,"Unf",2,552,"TA","TA","Y",256,0,0,0,0,0,"None","GdWo","None",0,"WD","Abnorml",2006-07-01
305,"Unf",3,870,"TA","TA","Y",302,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-05-01
306,"Fin",3,888,"TA","TA","Y",168,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
307,"RFn",3,746,"TA","TA","Y",127,44,224,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
308,"None",0,0,"None","None","N",0,144,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-03-01
309,"Unf",2,539,"TA","TA","Y",158,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-03-01
310,"Fin",3,708,"TA","TA","Y",208,175,0,0,0,0,"None","None","None",0,"WD","Normal",2006-11-01
311,"Fin",2,420,"TA","TA","Y",190,63,0,0,0,0,"None","None","None",0,"WD","Normal",2006-05-01
312,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-05-01
313,"Unf",2,410,"TA","TA","Y",0,0,0,0,271,0,"None","MnPrv","None",0,"WD","Normal",2006-05-01
314,"RFn",2,513,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
315,"Unf",2,546,"Fa","TA","Y",0,0,234,0,0,0,"None","None","None",0,"WD","Normal",2006-08-01
316,"Fin",2,432,"TA","TA","Y",100,51,0,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
317,"RFn",2,484,"TA","TA","Y",288,195,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2009-08-01
318,"RFn",3,1025,"TA","TA","Y",208,46,0,0,0,0,"None","None","None",0,"WD","Normal",2007-12-01
319,"RFn",3,656,"TA","TA","Y",340,60,144,0,0,0,"None","None","None",0,"WD","Normal",2009-04-01
320,"Unf",2,588,"TA","TA","Y",233,48,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
321,"RFn",3,840,"TA","TA","Y",240,154,0,0,0,0,"None","None","None",0,"New","Partial",2006-09-01
322,"Fin",3,872,"TA","TA","Y",184,154,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
323,"Fin",2,576,"TA","TA","Y",201,96,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-08-01
324,"Unf",1,220,"Fa","TA","Y",142,98,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
325,"Fin",2,564,"TA","TA","Y",240,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
326,"Unf",2,360,"TA","TA","Y",0,0,244,0,0,0,"None","None","None",0,"WD","Normal",2007-12-01
327,"Fin",2,473,"TA","TA","Y",122,30,0,0,0,0,"None","None","None",0,"Con","Normal",2008-05-01
328,"RFn",1,292,"TA","TA","Y",0,45,0,0,0,0,"None","None","None",0,"WD","Normal",2006-04-01
329,"Unf",2,441,"TA","TA","Y",0,60,268,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
330,"Unf",1,189,"Fa","Fa","N",0,0,137,0,0,0,"None","GdWo","None",0,"WD","Normal",2009-07-01
331,"Unf",1,352,"TA","TA","Y",155,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-11-01
332,"RFn",1,308,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
333,"RFn",3,880,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-10-01
334,"RFn",2,484,"TA","TA","Y",192,30,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
335,"Fin",2,472,"TA","TA","Y",100,38,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
336,"Fin",2,529,"TA","TA","Y",670,0,0,0,0,0,"None","None","Shed",700,"WD","Normal",2008-08-01
337,"Fin",3,676,"TA","TA","Y",178,51,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
338,"RFn",2,532,"TA","TA","Y",192,74,0,0,0,0,"None","None","None",0,"WD","Normal",2008-12-01
339,"RFn",2,440,"TA","TA","Y",108,45,0,0,0,0,"None","None","Shed",400,"WD","Normal",2006-05-01
340,"Unf",1,297,"TA","TA","Y",0,0,0,0,234,0,"None","None","None",0,"WD","Normal",2009-06-01
341,"Fin",2,431,"TA","TA","Y",135,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
342,"Unf",1,294,"TA","TA","N",250,0,24,0,0,0,"None","None","None",0,"WD","Normal",2009-09-01
343,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-05-01
344,"RFn",2,564,"TA","TA","Y",495,72,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
345,"Unf",1,336,"TA","TA","Y",182,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-04-01
346,"Unf",1,312,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-10-01
347,"RFn",1,301,"TA","TA","Y",0,0,0,0,0,0,"None","None","Gar2",15500,"WD","Normal",2007-04-01
348,"Unf",2,498,"TA","TA","Y",0,40,0,0,0,0,"None","None","None",0,"WD","Normal",2009-12-01
349,"RFn",2,474,"TA","TA","Y",0,27,0,0,0,0,"None","None","None",0,"WD","Normal",2008-10-01
350,"Fin",3,706,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"New","Partial",2006-04-01
351,"RFn",2,617,"TA","TA","Y",210,54,0,0,0,0,"None","None","None",0,"New","Partial",2007-12-01
352,"RFn",2,445,"TA","TA","Y",0,80,0,0,184,0,"None","None","None",0,"WD","Abnorml",2006-12-01
353,"Unf",1,200,"TA","Fa","Y",48,0,0,0,0,0,"None","None","None",0,"ConLw","Normal",2008-03-01
354,"Unf",2,484,"TA","TA","Y",106,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
355,"Unf",1,240,"TA","TA","Y",0,0,108,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
356,"RFn",2,521,"TA","TA","Y",0,26,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
357,"RFn",2,400,"TA","TA","Y",120,26,0,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
358,"Fin",2,528,"TA","TA","Y",536,90,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-08-01
359,"Unf",1,288,"TA","TA","Y",168,0,294,0,0,0,"None","None","None",0,"WD","Abnorml",2006-07-01
360,"RFn",2,592,"TA","TA","Y",208,75,0,0,374,0,"None","None","None",0,"WD","Normal",2006-06-01
361,"RFn",2,470,"TA","TA","Y",0,0,0,0,192,0,"None","MnPrv","None",0,"WD","Normal",2007-06-01
362,"Unf",1,240,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
363,"RFn",2,672,"TA","TA","Y",0,0,177,0,0,0,"None","None","None",0,"ConLD","Normal",2009-07-01
364,"Unf",1,264,"TA","TA","Y",250,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-05-01
365,"Fin",2,566,"TA","TA","Y",306,111,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
366,"Unf",1,468,"TA","Fa","Y",0,128,218,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
367,"RFn",2,514,"TA","TA","Y",0,76,0,0,185,0,"None","None","None",0,"WD","Normal",2009-07-01
368,"RFn",1,296,"TA","TA","Y",64,110,0,0,0,0,"None","None","None",0,"WD","Normal",2008-12-01
369,"Fin",1,244,"TA","TA","Y",0,98,0,0,0,0,"None","None","None",0,"WD","Normal",2010-03-01
370,"Fin",2,576,"TA","TA","Y",364,17,0,0,182,0,"None","None","None",0,"WD","Normal",2010-03-01
371,"RFn",2,460,"TA","TA","Y",100,40,0,0,0,0,"None","None","None",0,"WD","Normal",2006-01-01
372,"Fin",2,680,"TA","TA","N",0,59,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
373,"Unf",1,264,"TA","TA","Y",353,0,0,0,90,0,"None","MnPrv","None",0,"WD","Normal",2010-02-01
374,"Unf",1,270,"TA","TA","Y",66,0,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2009-11-01
375,"Fin",2,434,"TA","TA","Y",100,48,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
376,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-03-01
377,"Unf",2,576,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
378,"RFn",2,610,"TA","TA","Y",159,214,0,0,0,0,"None","None","None",0,"WD","Normal",2007-12-01
379,"Fin",3,834,"TA","TA","Y",113,0,0,0,0,0,"None","None","None",0,"New","Partial",2010-06-01
380,"Fin",2,463,"TA","TA","Y",100,63,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
381,"Unf",1,308,"TA","TA","Y",0,0,242,0,0,0,"None","None","None",0,"WD","Normal",2010-05-01
382,"RFn",2,572,"TA","TA","Y",216,121,0,0,0,0,"None","None","None",0,"New","Partial",2006-08-01
383,"RFn",2,639,"TA","TA","Y",144,53,0,0,0,0,"None","None","None",0,"WD","Normal",2007-04-01
384,"Unf",2,360,"Fa","Fa","N",0,0,91,0,0,0,"None","None","None",0,"WD","Normal",2009-10-01
385,"Fin",2,501,"TA","TA","Y",216,231,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
386,"Fin",2,430,"TA","TA","Y",146,20,0,0,144,0,"None","None","None",0,"WD","Normal",2010-04-01
387,"None",0,0,"None","None","N",0,151,0,0,0,0,"None","None","None",0,"WD","AdjLand",2006-05-01
388,"Unf",1,352,"TA","TA","Y",296,0,0,0,0,0,"None","GdWo","None",0,"WD","Abnorml",2009-10-01
389,"RFn",2,577,"TA","TA","Y",120,25,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
390,"Fin",3,846,"TA","TA","Y",196,134,0,0,0,0,"None","None","None",0,"New","Partial",2008-08-01
391,"Unf",1,384,"TA","TA","Y",0,130,112,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-04-01
392,"Fin",2,560,"TA","TA","Y",125,192,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
393,"RFn",1,294,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","Shed",1200,"WD","Normal",2007-07-01
394,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","GdWo","None",0,"WD","Abnorml",2006-04-01
395,"Unf",1,240,"TA","TA","Y",0,39,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
396,"Unf",1,596,"TA","TA","Y",44,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
397,"RFn",2,600,"TA","TA","Y",215,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-09-01
398,"RFn",1,264,"TA","TA","Y",0,168,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
399,"Unf",1,338,"Po","Po","N",0,0,0,0,0,0,"None","None","None",0,"WD","Abnorml",2007-11-01
400,"Fin",2,438,"TA","TA","Y",0,168,0,0,0,0,"None","None","None",0,"WD","Normal",2009-10-01
401,"Fin",2,500,"TA","TA","Y",120,30,0,0,224,0,"None","None","None",0,"WD","Normal",2008-12-01
402,"Fin",2,400,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"New","Partial",2006-07-01
403,"Unf",1,240,"TA","TA","N",168,0,0,0,0,0,"None","GdPrv","None",0,"WD","Normal",2008-08-01
404,"Fin",2,420,"TA","TA","Y",144,123,0,0,0,0,"None","None","None",0,"WD","Abnorml",2006-07-01
405,"Fin",2,373,"TA","TA","Y",0,40,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
406,"Unf",2,490,"TA","TA","Y",120,78,0,0,0,0,"None","GdWo","None",0,"WD","Normal",2009-06-01
407,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
408,"Unf",1,308,"TA","TA","Y",0,0,160,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
409,"RFn",3,947,"TA","TA","Y",192,62,0,0,0,0,"None","None","None",0,"New","Partial",2007-08-01
410,"Fin",3,836,"TA","TA","Y",0,102,0,0,0,0,"None","None","None",0,"New","Partial",2008-04-01
411,"Unf",1,350,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"COD","Abnorml",2009-06-01
412,"Fin",2,572,"TA","TA","Y",264,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-01-01
413,"Fin",2,484,"TA","TA","Y",0,144,0,0,0,0,"None","None","None",0,"New","Partial",2010-06-01
414,"Unf",2,360,"TA","TA","Y",0,0,130,0,0,0,"None","None","None",0,"WD","Normal",2010-03-01
415,"Unf",3,678,"TA","TA","Y",196,187,0,0,0,0,"None","None","None",0,"WD","Normal",2008-12-01
416,"Fin",2,396,"TA","TA","Y",100,30,0,0,0,0,"None","None","None",0,"New","Partial",2007-08-01
417,"Fin",2,440,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-03-01
418,"Unf",3,864,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-11-01
419,"Unf",1,240,"TA","TA","P",0,0,0,0,0,0,"None","None","None",0,"WD","AdjLand",2007-04-01
420,"Unf",1,304,"TA","TA","Y",0,85,184,0,0,0,"None","None","None",0,"WD","Normal",2010-07-01
421,"Fin",4,784,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Alloca",2008-11-01
422,"Fin",2,529,"TA","TA","Y",240,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
423,"RFn",2,520,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-02-01
424,"Fin",3,696,"TA","TA","Y",0,66,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
425,"RFn",1,297,"TA","TA","Y",0,44,0,0,0,0,"None","None","None",0,"WD","Normal",2008-05-01
426,"Unf",1,240,"TA","TA","P",0,0,126,0,0,0,"None","None","None",0,"WD","Normal",2009-09-01
427,"Fin",2,569,"TA","TA","Y",80,0,0,0,396,0,"None","None","None",0,"WD","Normal",2009-08-01
428,"Unf",1,352,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
429,"RFn",2,628,"TA","TA","Y",105,54,0,0,0,0,"None","None","None",0,"New","Partial",2007-09-01
430,"Unf",2,576,"TA","TA","Y",0,0,169,0,0,0,"None","None","None",0,"WD","Normal",2009-03-01
431,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"COD","Abnorml",2008-07-01
432,"None",0,0,"None","None","N",0,98,0,0,0,0,"None","MnPrv","None",0,"ConLD","Abnorml",2008-09-01
433,"Unf",2,440,"TA","TA","Y",240,36,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
434,"Fin",2,470,"TA","TA","Y",0,36,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
435,"None",0,0,"None","None","Y",88,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
436,"RFn",2,550,"TA","TA","Y",158,61,0,0,0,0,"None","None","None",0,"ConLw","Normal",2009-04-01
437,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-10-01
438,"Unf",1,180,"TA","TA","Y",0,0,105,0,0,0,"None","None","None",0,"WD","Normal",2009-01-01
439,"Unf",1,352,"Gd","TA","P",0,0,34,0,0,0,"None","MnPrv","None",0,"WD","Normal",2007-03-01
440,"Unf",2,528,"TA","TA","Y",0,46,0,0,0,0,"None","GdPrv","Shed",800,"ConLI","Normal",2009-08-01
441,"Fin",3,672,"TA","TA","Y",0,72,0,0,170,0,"None","None","None",0,"WD","Normal",2009-04-01
442,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-09-01
443,"Unf",2,360,"TA","TA","P",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
444,"Fin",3,648,"TA","TA","Y",144,16,0,0,0,0,"None","None","None",0,"New","Partial",2007-06-01
445,"Unf",2,493,"TA","TA","Y",144,133,0,0,0,0,"None","None","None",0,"WD","Normal",2008-07-01
446,"Unf",2,480,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,"COD","Normal",2009-11-01
447,"Fin",2,578,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2010-06-01
448,"Fin",2,431,"TA","TA","Y",89,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-07-01
449,"Unf",1,198,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
450,"Unf",1,308,"TA","TA","Y",0,176,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
451,"Unf",1,270,"Fa","Fa","N",0,113,0,0,0,0,"None","None","None",0,"WD","Normal",2006-06-01
452,"Unf",2,576,"TA","TA","Y",200,54,0,0,0,0,"None","None","None",0,"WD","Normal",2006-12-01
453,"Fin",2,422,"TA","TA","Y",144,122,0,0,0,0,"None","None","None",0,"WD","Normal",2007-07-01
454,"RFn",2,676,"TA","TA","Y",0,30,0,0,0,0,"None","None","None",0,"WD","Normal",2009-06-01
455,"Unf",2,560,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Family",2006-07-01
456,"Unf",2,528,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-09-01
457,"Unf",3,513,"Fa","Fa","Y",0,0,96,0,0,0,"None","None","None",0,"COD","Abnorml",2008-05-01
458,"Fin",2,529,"TA","TA","Y",224,137,0,0,0,0,"None","None","None",0,"WD","Normal",2008-03-01
459,"Unf",1,228,"TA","TA","Y",192,63,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2008-06-01
460,"Unf",1,352,"TA","TA","Y",0,0,248,0,0,0,"None","None","None",0,"WD","Normal",2009-07-01
461,"Fin",2,552,"TA","TA","Y",0,150,0,0,0,0,"None","None","None",0,"New","Partial",2009-12-01
462,"RFn",2,576,"TA","TA","Y",256,0,0,0,0,0,"None","MnPrv","None",0,"WD","Normal",2009-04-01
463,"Unf",1,360,"TA","TA","Y",0,0,236,0,0,0,"None","GdWo","None",0,"WD","Normal",2009-12-01
464,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2008-08-01
465,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","None","None",0,"WD","Normal",2009-08-01
466,"Fin",2,398,"TA","TA","Y",144,20,0,0,0,0,"None","None","None",0,"WD","Normal",2006-05-01
467,"Unf",2,526,"TA","TA","Y",0,0,0,0,176,0,"None","GdWo","None",0,"WD","Normal",2007-04-01
468,"Unf",1,312,"TA","TA","Y",168,0,0,0,0,0,"None","None","None",0,"WD","Normal",2007-06-01
469,"RFn",3,866,"TA","TA","Y",0,44,0,0,0,0,"None","None","None",0,"WD","Normal",2007-05-01
470,"RFn",2,506,"TA","TA","Y",144,70,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
471,"RFn",2,528,"TA","TA","Y",0,54,0,0,140,0,"None","None","None",0,"WD","Normal",2010-06-01
472,"RFn",2,534,"TA","TA","Y",0,0,0,0,276,0,"None","None","None",0,"WD","Normal",2007-11-01
473,"RFn",2,525,"TA","TA","Y",0,28,0,0,0,0,"None","None","None",0,"WD","Normal",2008-06-01
474,"RFn",3,908,"TA","TA","Y",250,63,0,0,0,0,"None","None","None",0,"New","Partial",2007-07-01
475,"RFn",2,499,"TA","TA","Y",96,48,0,0,0,0,"None","None","None",0,"WD","Normal",2007-08-01
476,"Unf",2,624,"TA","TA","Y",0,24,0,0,192,0,"None","None","None",0,"WD","Normal",2007-07-01
477,"Fin",2,508,"TA","TA","Y",140,39,0,0,0,0,"None","None","None",0,"WD","Normal",2008-04-01
478,"Fin",3,694,"TA","TA","Y",414,84,0,0,0,0,"None","None","None",0,"WD","Normal",2007-03-01
