"","Id","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating"
"353",353,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","Mn","LwQ",236,"Rec",380,0,616,"GasA"
"354",354,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,624,624,"GasA"
"355",355,2000,"Gable","CompShg","Wd Sdng","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",388,"Unf",0,552,940,"GasA"
"356",356,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","Gd","No","ALQ",334,"BLQ",544,322,1200,"GasA"
"357",357,1992,"Gable","CompShg","HdBoard","HdBoard","BrkFace",106,"TA","TA","PConc","Gd","TA","No","GLQ",560,"Unf",0,598,1158,"GasA"
"358",358,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",874,"Unf",0,268,1142,"GasA"
"359",359,1958,"Hip","CompShg","Wd Sdng","ImStucc","BrkFace",120,"TA","TA","CBlock","TA","TA","Av","BLQ",300,"Rec",294,468,1062,"GasA"
"360",360,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",530,"Gd","TA","PConc","Gd","TA","Av","GLQ",956,"Unf",0,130,1086,"GasA"
"361",361,1978,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","GLQ",773,"Unf",0,115,888,"GasA"
"362",362,1982,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",399,"Unf",0,484,883,"GasA"
"363",363,2003,"Gable","CompShg","HdBoard","HdBoard","BrkFace",500,"Gd","TA","Slab","None","None","None","None",0,"None",0,0,0,"GasA"
"364",364,2007,"Gable","CompShg","HdBoard","HdBoard","BrkFace",510,"TA","TA","CBlock","TA","TA","No","ALQ",162,"Unf",0,321,483,"GasA"
"365",365,1976,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"TA","TA","PConc","Gd","TA","Mn","GLQ",712,"Unf",0,84,796,"GasA"
"366",366,1997,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","Fa","No","Rec",456,"Unf",0,216,672,"GasA"
"367",367,1963,"Gable","CompShg","Plywood","Plywood","BrkFace",247,"TA","TA","CBlock","Gd","TA","No","BLQ",609,"Unf",0,785,1394,"GasA"
"368",368,1962,"Gable","Tar&Grv","Plywood","Plywood","BrkFace",305,"TA","TA","CBlock","Gd","TA","Gd","GLQ",371,"Unf",0,728,1099,"GasA"
"369",369,1954,"Gable","CompShg","HdBoard","HdBoard","BrkFace",200,"TA","TA","PConc","TA","TA","No","LwQ",540,"Unf",0,728,1268,"GasA"
"370",370,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",72,"Rec",258,733,1063,"GasA"
"371",371,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,953,953,"GasA"
"372",372,1959,"Gable","CompShg","WdShing","Plywood","None",0,"TA","TA","CBlock","None","None","None","None",0,"None",0,0,0,"GasA"
"373",373,1984,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",623,"LwQ",121,0,744,"GasA"
"374",374,1953,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","BLQ",428,"LwQ",180,0,608,"GasA"
"375",375,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,847,847,"GasA"
"376",376,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Fa","Fa","BrkTil","Fa","Po","Gd","BLQ",350,"Unf",0,333,683,"GasA"
"377",377,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",298,"Unf",0,572,870,"GasA"
"378",378,2005,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1580,1580,"GasA"
"379",379,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",350,"Gd","TA","PConc","Ex","TA","Av","GLQ",1445,"Unf",0,411,1856,"GasA"
"380",380,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,982,982,"GasA"
"381",381,1950,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",218,"Unf",0,808,1026,"GasA"
"382",382,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Gd","No","Unf",0,"Unf",0,1293,1293,"GasA"
"383",383,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,939,939,"GasA"
"384",384,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,784,784,"GasA"
"385",385,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",985,"Unf",0,595,1580,"GasA"
"386",386,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1232,1256,"GasA"
"387",387,1996,"Gambrel","CompShg","Wd Sdng","VinylSd","None",0,"TA","Fa","PConc","TA","TA","No","Unf",0,"Unf",0,658,658,"GasA"
"388",388,1976,"Hip","CompShg","MetalSd","MetalSd","BrkFace",255,"TA","TA","CBlock","TA","TA","Av","ALQ",631,"Unf",0,410,1041,"GasA"
"389",389,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",125,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1468,1468,"GasA"
"390",390,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",272,"Ex","TA","PConc","Ex","TA","Av","GLQ",1280,"Unf",0,402,1682,"GasA"
"391",391,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Gd","No","Rec",241,"BLQ",391,229,861,"GasA"
"392",392,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Ex","TA","No","ALQ",690,"Unf",0,114,804,"GasA"
"393",393,1959,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","None","None","None","None",0,"None",0,0,0,"GasA"
"394",394,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",266,"Unf",0,522,788,"GasA"
"395",395,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,735,735,"GasA"
"396",396,1956,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",739,"Unf",0,405,1144,"GasA"
"397",397,1972,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","Rec",777,"Unf",0,117,894,"GasA"
"398",398,1962,"Gable","CompShg","VinylSd","VinylSd","BrkFace",288,"TA","TA","CBlock","TA","TA","No","ALQ",540,"Unf",0,324,864,"GasA"
"399",399,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","BrkTil","Fa","Po","No","Unf",0,"Unf",0,961,961,"GasA"
"400",400,2007,"Gable","CompShg","CemntBd","CmentBd","Stone",100,"Gd","TA","PConc","Gd","TA","No","GLQ",812,"Unf",0,280,1092,"GasA"
"401",401,1996,"Gable","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",786,"Unf",0,474,1260,"GasA"
"402",402,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1286,1310,"GasA"
"403",403,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,672,672,"GasA"
"404",404,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",650,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1141,1141,"GasA"
"405",405,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,806,806,"GasA"
"406",406,1993,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",1116,"Unf",0,165,1281,"GasA"
"407",407,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1064,1064,"GasA"
"408",408,1976,"Gable","CompShg","Wd Sdng","Plywood","None",0,"TA","TA","BrkTil","Gd","TA","No","Unf",0,"Unf",0,840,840,"GasA"
"409",409,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Ex","Gd","No","Unf",0,"Unf",0,1063,1063,"GasA"
"410",410,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",100,"Gd","TA","PConc","Ex","TA","No","GLQ",789,"Unf",0,245,1034,"GasA"
"411",411,1958,"Gable","CompShg","BrkComm","Brk Cmn","None",0,"TA","Fa","CBlock","TA","Fa","No","Unf",0,"Unf",0,1276,1276,"GasA"
"412",412,1955,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","Rec",1056,"None",0,0,1056,"GasA"
"413",413,2009,"Gable","CompShg","MetalSd","MetalSd","Stone",432,"Ex","TA","PConc","Ex","TA","Av","GLQ",578,"Unf",0,892,1470,"GasA"
"414",414,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1008,1008,"GasA"
"415",415,1993,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","BLQ",50,"GLQ",531,499,1080,"GasA"
"416",416,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1316,1340,"GasA"
"417",417,1978,"Hip","CompShg","HdBoard","HdBoard","BrkFace",203,"TA","TA","CBlock","TA","TA","No","ALQ",209,"Unf",0,463,672,"GasA"
"418",418,1950,"Hip","CompShg","Wd Sdng","Stucco","None",0,"TA","TA","BrkTil","Gd","TA","No","BLQ",1128,"Unf",0,242,1370,"GasW"
"419",419,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",312,"Unf",0,444,756,"GasA"
"420",420,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",775,"Unf",0,281,1056,"GasA"
"421",421,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",200,"TA","Gd","PConc","Gd","Gd","Gd","GLQ",1309,"Unf",0,35,1344,"GasA"
"422",422,2000,"Gable","CompShg","CemntBd","CmentBd","Stone",126,"Gd","TA","CBlock","Gd","TA","No","ALQ",1246,"Unf",0,356,1602,"GasA"
"423",423,1954,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,988,988,"GasA"
"424",424,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",473,"Gd","TA","PConc","Gd","TA","No","GLQ",986,"Unf",0,484,1470,"GasA"
"425",425,1956,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",74,"TA","TA","CBlock","Gd","TA","No","LwQ",616,"Unf",0,580,1196,"GasA"
"426",426,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf",0,651,651,"GasA"
"427",427,1989,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",145,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1518,"None",0,0,1518,"GasA"
"428",428,1957,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",288,"Unf",0,619,907,"GasA"
"429",429,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",108,"Gd","TA","PConc","Gd","TA","No","GLQ",664,"Unf",0,544,1208,"GasA"
"430",430,1988,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Mn","GLQ",1005,"Unf",0,387,1392,"GasA"
"431",431,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",232,"TA","TA","CBlock","TA","TA","No","ALQ",387,"Unf",0,96,483,"GasA"
"432",432,1998,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,901,901,"GasA"
"433",433,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",376,"TA","TA","CBlock","TA","TA","No","ALQ",471,"Unf",0,294,765,"GasA"
"434",434,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,926,926,"GasA"
"435",435,1972,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","Gd","CBlock","Gd","TA","Av","ALQ",495,"Unf",0,135,630,"GasA"
"436",436,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",385,"ALQ",344,70,799,"GasA"
"437",437,1950,"Gable","CompShg","Stucco","Stucco","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0,"Unf",0,648,648,"GasA"
"438",438,2004,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","TA","TA","No","Unf",0,"Unf",0,884,884,"GasA"
"439",439,2002,"Gable","CompShg","WdShing","Stucco","None",0,"TA","TA","PConc","TA","TA","No","LwQ",365,"Unf",0,75,440,"GasA"
"440",440,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","Fa","Mn","Unf",0,"Unf",0,684,684,"GasA"
"441",441,2008,"Hip","CompShg","VinylSd","VinylSd","Stone",200,"Ex","TA","PConc","Ex","TA","Gd","GLQ",1767,"ALQ",539,788,3094,"GasA"
"442",442,1955,"Gable","CompShg","VinylSd","VinylSd","BrkFace",270,"TA","TA","CBlock","TA","TA","No","ALQ",133,"Unf",0,1307,1440,"GasA"
"443",443,1992,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,1078,1078,"GasA"
"444",444,2007,"Gable","CompShg","WdShing","Wd Shng","BrkFace",72,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1258,1258,"GasA"
"445",445,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","TA","No","GLQ",642,"Unf",0,273,915,"GasA"
"446",446,1956,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1436,1436,"GasA"
"447",447,2002,"Gable","CompShg","BrkFace","Plywood","None",0,"Gd","TA","CBlock","TA","TA","No","ALQ",247,"Rec",713,557,1517,"GasA"
"448",448,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,930,930,"GasA"
"449",449,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,780,780,"GasA"
"450",450,2002,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",331,"Unf",0,318,649,"GasA"
"451",451,2005,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,813,813,"GasA"
"452",452,1975,"Gable","WdShngl","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",655,"Unf",0,878,1533,"GasA"
"453",453,1997,"Hip","CompShg","VinylSd","VinylSd","BrkFace",42,"Gd","TA","PConc","Ex","TA","No","ALQ",742,"Unf",0,130,872,"GasA"
"454",454,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,768,768,"GasA"
"455",455,1976,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",1606,"Unf",0,122,1728,"GasA"
"456",456,1973,"Hip","CompShg","HdBoard","HdBoard","BrkFace",320,"TA","TA","CBlock","TA","TA","No","ALQ",916,"Unf",0,326,1242,"GasA"
"457",457,1950,"Gable","CompShg","AsbShng","AsbShng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,624,624,"GasA"
"458",458,1994,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","BLQ",1116,"Unf",0,248,1364,"GasA"
"459",459,1996,"Hip","CompShg","Stucco","Wd Shng","None",0,"TA","Gd","PConc","TA","TA","No","Unf",0,"Unf",0,588,588,"GasA"
"460",460,1950,"Gable","CompShg","MetalSd","MetalSd","BrkCmn",161,"TA","TA","CBlock","TA","TA","No","LwQ",185,"Unf",0,524,709,"GasA"
"461",461,2009,"Gable","CompShg","VinylSd","VinylSd","Stone",110,"Gd","TA","PConc","Gd","TA","No","GLQ",544,"Unf",0,288,832,"GasA"
"462",462,2007,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","PConc","Gd","Gd","No","ALQ",350,"BLQ",210,0,560,"GasA"
"463",463,1965,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",553,"BLQ",311,0,864,"GasA"
"464",464,1995,"Hip","CompShg","Stucco","Stucco","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",326,"Unf",0,389,715,"GasA"
"465",465,1978,"Gable","CompShg","HdBoard","HdBoard","BrkFace",136,"TA","TA","CBlock","Gd","TA","No","Rec",616,"Unf",0,424,1040,"GasA"
"466",466,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",18,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1375,1375,"GasA"
"467",467,1970,"Flat","Tar&Grv","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Gd","Gd","GLQ",778,"Unf",0,499,1277,"GasA"
"468",468,1995,"Gable","CompShg","MetalSd","MetalSd","Stone",224,"TA","TA","CBlock","TA","TA","No","LwQ",386,"Unf",0,342,728,"GasA"
"469",469,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",248,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1626,1626,"GasA"
"470",470,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"Gd","TA","PConc","Gd","TA","No","GLQ",426,"Unf",0,406,832,"GasA"
"471",471,1985,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",368,"BLQ",1120,0,1488,"GasA"
"472",472,1977,"Mansard","WdShake","WdShing","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,808,808,"GasA"
"473",473,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",80,"TA","TA","PConc","Gd","TA","Gd","GLQ",459,"Unf",0,88,547,"GasA"
"474",474,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",304,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1350,"Unf",0,626,1976,"GasA"
"475",475,2000,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",1196,"Unf",0,298,1494,"GasA"
"476",476,1963,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",630,"Unf",0,340,970,"GasA"
"477",477,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",215,"TA","TA","PConc","Gd","TA","Gd","GLQ",994,"Unf",0,484,1478,"GasA"
"478",478,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",772,"Ex","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,2153,2153,"GasA"
"479",479,2008,"Hip","CompShg","VinylSd","VinylSd","Stone",336,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1288,"Unf",0,417,1705,"GasA"
"480",480,2000,"Hip","CompShg","Stucco","Stucco","BrkCmn",435,"TA","TA","BrkTil","Fa","TA","No","Rec",168,"Unf",0,739,907,"GasA"
"481",481,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",378,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1261,"Unf",0,572,1833,"GasA"
"482",482,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",562,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1567,"Unf",0,225,1792,"GasA"
"483",483,2005,"Gable","CompShg","Stucco","Stucco","None",0,"Gd","TA","PConc","TA","TA","No","ALQ",299,"Unf",0,611,910,"GasA"
"484",484,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",116,"TA","TA","PConc","Ex","TA","No","GLQ",897,"Unf",0,319,1216,"GasA"
"485",485,2001,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",588,"Unf",0,411,999,"GasA"
"486",486,2007,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","CBlock","TA","TA","No","ALQ",607,"Unf",0,506,1113,"GasA"
"487",487,1965,"Hip","CompShg","MetalSd","MetalSd","BrkFace",168,"TA","TA","CBlock","TA","TA","No","ALQ",836,"Unf",0,237,1073,"GasA"
"488",488,1971,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",998,"Unf",0,486,1484,"GasA"
"489",489,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Fa","CBlock","TA","Fa","No","BLQ",664,"Unf",0,290,954,"GasA"
"490",490,2002,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","Gd","CBlock","Gd","TA","Av","GLQ",515,"Unf",0,115,630,"GasA"
"491",491,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","Mn","Unf",0,"Unf",0,264,264,"GasA"
"492",492,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",403,"Rec",165,238,806,"GasA"
"493",493,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,728,728,"GasA"
"494",494,1960,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",374,"LwQ",532,363,1269,"GasA"
"495",495,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0,"Unf",0,190,190,"GasA"
"496",496,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",495,"Unf",0,225,720,"GasA"
"497",497,1993,"Hip","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1231,"Unf",0,1969,3200,"GasA"
"498",498,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","PConc","TA","TA","No","Rec",329,"Unf",0,697,1026,"GasA"
"499",499,2004,"Hip","CompShg","HdBoard","HdBoard","BrkFace",89,"TA","TA","PConc","TA","TA","No","ALQ",450,"Unf",0,414,864,"GasA"
"500",500,1985,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",111,"LwQ",279,522,912,"GasA"
"501",501,1973,"Gable","CompShg","HdBoard","HdBoard","BrkFace",285,"TA","TA","CBlock","TA","TA","No","BLQ",356,"Unf",0,316,672,"GasA"
"502",502,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",400,"Unf",0,466,866,"GasA"
"503",503,1965,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",698,"GLQ",96,420,1214,"GasA"
"504",504,1997,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",1247,"Unf",0,254,1501,"GasA"
"505",505,1974,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",257,"Rec",495,103,855,"GasA"
"506",506,1952,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",360,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,960,960,"GasA"
"507",507,1994,"Gable","CompShg","VinylSd","VinylSd","BrkFace",125,"Gd","TA","PConc","Gd","TA","No","GLQ",380,"Unf",0,397,777,"GasA"
"508",508,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",27,"Unf",0,1191,1218,"GasA"
"509",509,2005,"Gambrel","CompShg","MetalSd","MetalSd","None",0,"TA","Ex","BrkTil","TA","TA","No","Rec",141,"Unf",0,548,689,"GasA"
"510",510,1959,"Gable","CompShg","MetalSd","MetalSd","BrkFace",132,"TA","TA","CBlock","TA","TA","No","ALQ",991,"Unf",0,50,1041,"GasA"
"511",511,2000,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkCmn",70,"Gd","TA","CBlock","TA","TA","No","BLQ",650,"Rec",180,178,1008,"GasA"
"512",512,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",94,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1368,1368,"GasA"
"513",513,1958,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",521,"LwQ",174,169,864,"GasA"
"514",514,1983,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","TA","TA","No","ALQ",336,"Unf",0,748,1084,"GasA"
"515",515,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,768,768,"Grav"
"516",516,2009,"Hip","CompShg","CemntBd","CmentBd","BrkFace",305,"Ex","TA","CBlock","Ex","TA","No","GLQ",1436,"Unf",0,570,2006,"GasA"
"517",517,1972,"Gable","CompShg","HdBoard","HdBoard","BrkFace",333,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,689,689,"GasA"
"518",518,1997,"Gable","CompShg","VinylSd","VinylSd","BrkFace",921,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1264,1264,"GasA"
"519",519,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",706,"Unf",0,88,794,"GasA"
"520",520,2004,"Gambrel","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","BrkTil","Gd","TA","No","Unf",0,"Unf",0,1276,1276,"GasA"
"521",521,2000,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","None","None","None","None",0,"None",0,0,0,"GasA"
"522",522,1957,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",777,"Unf",0,467,1244,"GasA"
